CODIGO,DESCRIPCION,STOCK,PRECIO $,MARCA,MINI CODIGO,DETALLES,PRECIO EN SOLES
ACECOR3OTC, SAMPLE FOR CHARGING CART, 1,999,ECOTREND,150745,"Gabinete de carga Ecotrend QP-R30TC, negro.[@@@]",5027.986
ACCADVKBSP5737, KEYBOARD PARA TABLET SP5737, 0,10,ADVANCE COMPUTER CORP,423887,"Estuche Advance para tablet SP5737 con teclado micro usb, coral[@@@]Optimiza tu produ",69.14
ACCDGRRASBT1, GORRA BLUETOOTH TIPO BASEBALL, 1,7.8,DELTRON,329347,,58.1092
ACCHP2GU07AA, ADJUSTABLE HEIGHT STAND PROONE, 16,63.5,HP COMERCIAL,423887,"Soporte de altura ajustable HP, Vesa 100x100, Negro.[@@@]",337.389
ACCLNERVINYLPCK, CLEANERVINYL PRO COLLECTOR KIT, 1,518,ZZ OTRAS MARCAS,302277,CleanerVinyl Pro Collector Kit[@@@]Se adapta a lamayoría de los limpiadores ultrasóni,2616.252
ACCLNERVINYLRPM, CLEANERVINYL RPM, 1,94,ZZ OTRAS MARCAS,214228,"Accesorio CleanerVinyl RPM, Control de velocidad de giro de la barra de discos.[@@@]P",490.31600000000003
ACCNECKFANW, VENTILADOR DE CUELLO BLANCO,20,5,DELTRON,433319,,44.07
ACCTE8082T, EXHIBIDOR SMART WATCH TE8082,20,999,TEROS,424366,Exhibidor Smart Watch TE8082[@@@]El exhibidor Smart Watch TE8082 es un elegante sopor,5027.986
ACCZZDCPOWPLUGS, DC POWER PLUGS,20,1.4,ZZ OTRAS MARCAS,177279,"Conector Plug CUI Inc. PP-019, 1.1 / 2.8 mm, Niquel, PVC, Negro, 100M Ohm, 16V/4A.[@@",26.0196
ZZNCCTEIDS18585,  TE-IDS18585 PARA DELL-CONSUMO,20,99,ZZ OTRAS MARCAS,438691,,515.386
ZZTVTUNNER-B, DIGITAL TV TUNNER, 2,51.8,ADVANCE COMPUTER CORP,257052,"Digital TV Tunner Advance, HD, PVR ,micro-USB, Compatible con Android.[@@@]",278.7252
ZZUSBPLAYER-B, USB PLAYER, 2,9999999.99,ZZ OTRAS MARCAS,257167,"Sintonizador TV, Micro USB, receptor + Antena, negro.[@@@]",50140018.94986001
ACHPGM110AA, AC HP ESATA PCI CABLE KIT, 6,15.7,HP COMERCIAL,68044,"Kit de cables PCI eSATA HP (GM110AA), para convertir 2 puertos SATA internos en exter",97.7198
ACCNOHUBDCK11N1, NOVOO HUB DOCKIN USB-C 11-IN-1,20,40.4,NOVOO,469388,"Estacion de puertos/Docking Station NOVOO 11-in-1, Interfaz USB-C, Plug-and-Play[@@@]",221.5656
ACCNOHUBDCK14N1, NOVOO HUB DOCKIN USB-C 14-IN-1, 20,52.8,NOVOO,469389,"Estacion de puertos/Docking Station NOVOO 14-in-1, Interfaz USB-C, Plug-and-Play[@@@]",283.7392
ACCNOHUBDCK7N1, NOVOO HUB DOCKING USB-C 7-IN-1,20,31.4,NOVOO,469387,"Estacion de puertos/Docking Station NOVOO 7-in-1,Interfaz USB-C, Plug-and-Play[@@@]",176.4396
ACCSSKDK103USB3, OFFLINE CLONER/DUPLICATOR DOCK,20,35.4,SSK,469368,"Estación/Docking SSK Dual para HDD/SSD (3.5""/2.5"") con funciónes de clonación/duplica",196.4956
ACCSSKENCHEV600, USB 3.0 TO SATA 2.5” ENCLOSURE,20,15.4,SSK,381723,"Enclosure SSK de Aluminio, Portatil, USB 3.0-to-SATA (6Gbps), Soporta 2.5"" HDD & SSD",96.21560000000001
ACCSSKENHEC600, USB-C TO SATA 2.5” ENCLOSURE,20,20.4,SSK,381720,"Enclosure SSK de Aluminio, USB-C 3.1 Gen 2-to-SATA (6Gb/s), soporta 2.5"" HDD/SSD SATA",121.2856
ACCSSKHEC371, ENCLOSURE TF SSD M.2 NVME USBC,20,24.4,SSK,470640,"Enclosure SSK de aluminio Tool-Free, USB-C 3.2 Gen 2 para SSD M.2 NVMe (PCie) / NGFF(",141.3416
ACCSSKSHEC325PR, ENCLOSURE P/ SSD M.2 NVME USB,20,25.4,SSK,405899,"Enclosure para SSD M.2 NVMe (PCIe) / SATA, admitetamaños 2242/2260/2280, USB-C 3.2 Ge",146.35559999999998
ACCTLU320006BK, CABLE USB 3.0 SUPERSPEED 1.83M,20,3.98,TRIPP-LITE,243959,"Cable USB 3.0 Tripp-Lite U320-006-BK, Negro, SuperSpeed, A/A, 1.83 mts, 28/24 AWG.[@@",38.95572
ACCTLU322006BK, CABLE USB 3.0 SUPER A/B 1.83CM, 14,3.8,TRIPP-LITE,337722,"Cable para Dispositivo USB 3.0 SuperSpeed A-B(M/M) Negro, 1.83 m / 6 pies.[@@@]Conect",38.053200000000004
ACCTLU322010BK, CABLE USB 3.0 SUPERSPEE A/B 3M, 4,4.88,TRIPP-LITE,337723,,43.468320000000006
ACCTLU324006BK, CABLE USB 3.0 A/A M/H 1.83CM,20,4.29,TRIPP-LITE,337726,"Cable de Extensión USB 3.0 SuperSpeed (M/H) Negro, 1.83 m (6 pies)[@@@]Extiende un Ca",40.51006
ACCTLU329000, ADAPTADOR USB 3.0 A USB C M/H,20,4.7,TRIPP-LITE,337737,"Adaptador USB-C Hembra a USB-A Macho, USB 3.0[@@@]El adaptador USB-A macho a USB-C he",42.5658
ACCZAUSBCDLUSBC, CABLE USB-C/DL USB-C HP & CHRG, 4,22.5,ZZ OTRAS MARCAS,406134,,131.815
ACTE70207W, ADAPTADOR DE CORRIENTE GAN 65W,20,10.2,TEROS,424450,"Cargador USB-A USB-C TEROS TE-70207W, GaN, PD 65W, blanco[@@@]Potencia y eficiencia e",70.1428
ACTE70208W, CABLE USB TEROS C-C 100W 5A,20,2.45,TEROS,424445,"Cable USB TEROS TE-70208W, Tipo C a Tipo C, 5A, 100W Máx, blanco[@@@]Descubre el Cabl",31.2843
ACTE70209W, CABLE USB C-C TEROS 60W 3A,20,1.75,TEROS,424446,"Cable USB TEROS TE-70209W, Tipo C a Tipo C, 3A, 60W Máx, blanco[@@@]Conecta y carga t",27.7745
ACTE70210W, CABLE USB TEROS A - C / L/ M,20,2.9,TEROS,424447,"Cable de carga 3 en 1 TEROS TE-70210W, USB a TipoC/Lightning/Micro USB, 17.5W Máx, gr",33.5406
ACTE70211W, CABLE USB TEROS A-C 60W 3A,20,1.98,TEROS,424448,"Cable USB TEROS TE-70211W, Tipo A a Tipo C, 3A, 60W Máx, gris[@@@]Conecta y carga de",28.92772
ACTE70212W, CABLE TIPO C A LIGHTNING,20,6.25,TEROS,426316,"Cable USB TEROS TE-70212W, Tipo C a Lightning, 3A, 20W Máx, blanco y plateado[@@@]Con",50.337500000000006
ACTLU040006CFL, CABLE PLANO USB-C (M/M) 1.83M,20,5.19,TRIPP-LITE,365437,,45.02266
ACTLU040C1MC5A, CABLE USB-C A USB-C (M/M) 1M,20,6.5,TRIPP-LITE,365435,,51.591
ACCTLB020U1619K, NETDIRECTOR 16-PORT 1U RACK-MO, 1,1399,TRIPP-LITE,205862,Consola KVM Tripp-Lite para instalación en rack de 1U de 16 puertos Netdirector/LCD d,7033.586
ACCTLSRCOOL7KDU, SMARTRACK EXHAUST DUCT KIT, 2,170,TRIPP-LITE,214496,Juego de ducto de descarga SmartRack Kit.[@@@],871.38
ACTLSRCOOL12K, A. ACOND. PORTABLE DE 12000BTU, 1,735,TRIPP-LITE,73346,"Accesorio TRIPP-LITE SRCOOL12K, unidad de aire acondicionado portátil, voltaje de al",3704.29
MMHSJBGN2020NC, HEADSET JABRA GN2020-NC NOISE, 4,42.3,ZZ OTRAS MARCAS,301874,,231.0922
SWDGCHR-193-01, HMP LIFECYCLE HANDLING FEE, 1,254,ZZ OTRAS MARCAS,140046,Dialogic HMP Lifecycle Handling Fee[@@@],1292.556
ACCGXD1P47518, YOGA TRUE WIRELESS STEREO EARB, 17,49,LENOVO - IDEA,470577,"Auriculares (In-Ear) con 3 mics design ENC, Lenovo TWS YOGA PC Edition, Interfaz Blue",264.68600000000004
ACCORD9901, ELGATO FILTRO WAVE POP,20,23,CORSAIR,364034,Elgato Wave Pop Filter (Filtro de ruido)[@@@]WavePop Filter presenta una malla de ace,134.322
ACCORE9901, ELGATO PROTECTOR CHOQUE WAVE,20,29,CORSAIR,364035,Elgato Shock Mount (Soporte de suspensión antivibración)[@@@]Audio sin ruidos: reduce,164.406
ACCORF9901, ELGATO VARILLA EXTENSIÓN WAVE,20,8,CORSAIR,364038,Elgato Varillas de extensión de ondas (Varillas de acero de 2 x 5cm / 1.97 pulgadas).,59.112
MMSWLENHAUDIO, SWIVL WITH ENHANCED AUDIO, 1,480,ZZ OTRAS MARCAS,189803,"Base de Nube Swivl SW2782-SC, captura/comparte video desde dispositivos móviles.[@@@]",2425.7200000000003
ACCGXD1J77353, LEN 300 USB-C WIRED IN-EAR,20,10.4,LENOVO - IDEA,439652,"Auriculares de tapon (In-Ear) con microfono Lenovo, Interfaz USB-C, Tipo alambrico.[@",71.1456
ACSMIA500BBEGWW, WIRED EARPHONE 2021_3.5MM, 19,9,SAMSUNG,404979,,64.126
ACSMIC100BBEGWW, SAMSUNG DA AUDIO_TYPE-C, 7,14,SAMSUNG,404978,"Auriculares Samsung Tipo-C, con Microfono incorporado, Color Negro.[@@@]Obtén la expe",89.196
MMACHTE8078R, AUDIFONO C. AIRE TEROS TE8078R,20,11.2,TEROS,422855,"Audífono de conducción de aire TEROS TE-8078R, bluetooth, rojo /gris[@@@]Los audífono",75.1568
MMHWTE8033N, HEADSET TE8033N,20,18.3,TEROS,423962,"Audífono inalámbrico ANC TEROS TE-8033N (Headset), negro[@@@]Los auriculares inalámbr",110.7562
MMHWTE8033WP, HEADSET TE8033WP,20,18.3,TEROS,423964,"Audífono inalámbrico ANC TEROS TE-8033WP (Headset), blanco[@@@]Los auriculares inalám",110.7562
MMHWTE8037N, HEADSET TE8037N,20,6.9,TEROS,453388,"Audífono TEROS TE-8037N (HEADSET), negro[@@@]Los auriculares alámbricos TEROS TE-8037",53.5966
MMHWTE8038N, AUDíFONO TE-8038 NEGR TITANIUM,20,34,TEROS,478133,"Audífono inalámbricos TEROS TE-8038N, USB-C, Negro Titanium[@@@]Descubre los audífono",189.476
MMHWTE8038NE, AUDíFONO TE-8038 NATU TITANIUM,20,35,TEROS,478135,"Audífono inalámbricos TEROS TE-8038NE, USB-C, Natural Titanium[@@@]Descubre los audíf",194.49
MMHWTE8038RS, AUDíFONO TE-8038 ROSE TITANIUM,20,35,TEROS,478136,"Audífono inalámbricos TEROS TE-8038RS, USB-C, Rose Titanium[@@@]Descubre los audífono",194.49
MMHWTE8038W, AUDíFONO TE8038 BLANC TITANIUM,20,35,TEROS,478134,"Audífono inalámbricos TEROS TE-8038W, USB-C, Blanco Titanium[@@@]Descubre los audífon",194.49
MMLEN4XD1K18260, HEADSET USB-A WIRED STEREO, 14,31.8,LENOVO - THINKPAD,469049,"Auriculares Stereo Lenovo On-Ear (con Control Box), Interfaz USB-A[@@@]Los auriculare",178.4452
MMLEN4XD1P83425, LEN USB-A WIRED STEREO HEADSET,20,23.5,LENOVO - THINKPAD,470499,"Auriculares Stereo con micrófono Lenovo Gen 2, Interfaz USB-A[@@@]Los auriculares est",136.829
MMSMR400NZAALTA, SAMSUNG BUDS FE BLACK, 7,72,SAMSUNG,435352,"Auriculares Inalambricos Galaxy Samsung Buds FE, Color Graphite (Negro)[@@@]Comodidad",380.00800000000004
MMSMR400NZWALTA, SAMSUNG BUDS FE WHITE,20,68,SAMSUNG,435353,"Auriculares Inalambricos Galaxy Samsung Buds FE, Color Mystic White (Blanco)[@@@]Como",359.952
MMHSTE8171N, HEADSET TEROS TE-8171N,20,10.4,TEROS,403609,"Auriculares gaming TEROS TE-8171N, estéreo, micrófono, luces RGB[@@@]Los auriculares",71.1456
MMLENGXD0T69863, MM LEN H300 HEADSET STEREO GAM, 8,63,LENOVO - IDEA,352969,Auriculares Lenovo Gaming Legion H300[@@@]Los auriculares estéreo para juegos Legion,334.882
MMLENGXD1P46880, LENOVO H210 GAMING HEADSET,20,33.8,LENOVO - IDEA,455856,Auriculares con micrófono Lenovo H210 gaming[@@@]Los auriculares con micrófono Lenovo,188.4732
MMSPLBBV120BK, SPEAKER BT LB BV120 BK, 0,20.8,LANDBYTE,190304,"Parlante inalámbrico LandByte BV120, Bluetooth, Micro-SD, PowerBank, recargable.[@@@]",123.2912
MMSPLBBV120BL, SPEAKER BT LB BV120 BL, 1,20.8,LANDBYTE,190302,"Parlante inalámbrico LandByte BV120, Bluetooth, Micro-SD, PowerBank, recargable.[@@@]",123.2912
MMSPLBBV120PK, SPEAKER BT LB BV120 PK, 1,20.8,LANDBYTE,190303,"Parlante inalámbrico LandByte BV120, Bluetooth, Micro-SD, PowerBank, recargable.[@@@]",123.2912
MMSPLBBV210BL, SPEAKER BT LB BV210 BL, 1,29.36,LANDBYTE,190294,"Parlante inalámbrico LandByte BV210, Bluetooth, Micro-SD, recargable.[@@@]Conector mi",166.21104
MMSPLBBV310GR, SPEAKER BT LB BV310 GR, 1,15,LANDBYTE,190283,"Parlante inalámbrico LandByte BV310, Bluetooth, Iluminación Led, recargable.[@@@]Cone",94.21000000000001
MMSPLBBV350PK, SPEAKER BT LB BV350 PK, 1,15,LANDBYTE,190278,"Parlante inalámbrico LandByte BV350, Bluetooth, Micro-SD, 3.5 mm, recargable.[@@@]Con",94.21000000000001
MMSPLBBV350YW, SPEAKER BT LB BV350 YW, 1,23.4,LANDBYTE,190275,"Parlante inalámbrico LandByte BV350, Bluetooth, Micro-SD, 3.5 mm, recargable.[@@@]Con",136.32760000000002
MMSPTE6032N, PARLANTES TEROS TE-6032N BT,20,5.3,TEROS,416295,"Parlante TEROS TE-6032N, bluetooth, 5 W, 400 mAh,negro[@@@]El parlante inalámbrico TE",45.574200000000005
MMSPTE6033N, PARLANTE/AUDIF TEROS TE-6033N,20,14.8,TEROS,416296,"Parlante/audífono TEROS TE-6033N, bluetooth, 5 W,1200 mAh, negro[@@@]El dispositivo T",93.2072
MMSPTE6045B, PARLANTE TEROS TE6045N BT 60 W,20,41.7,TEROS,472346,"Parlante TEROS TE-6045B, color negro, 60 W[@@@]Potencia tu música con el Parlante Blu",228.08380000000002
MMSPTE6045G, PARLANTE TEROS TE6045G BT 60W,20,41.7,TEROS,445644,"Parlante TEROS TE-6045G, color verde militar camuflado, 60 W[@@@]Disfruta de un sonid",228.08380000000002
MMSPTE6045N, PARLANTE TEROS TE6045N BT 60 W,20,41.7,TEROS,441361,"Parlante TEROS TE-6045N, color negro, 60 W[@@@]Potencia tu música con el Parlante Blu",228.08380000000002
MMSPTE6046B, PARLANTE TEROS TE6046N BT 40W,20,25.7,TEROS,472385,"Parlante Ultra TE-6046N, color negro, 40W[@@@]El parlante Bluetooth TEROS TE-6046N de",147.8598
MMSPTE6046G, PARLANTE TEROS BT 40W CAM GREE,20,25.7,TEROS,445645,"Parlante Ultra TE-6046G, color verde militar camuflado, 40 W[@@@]Disfruta de la mejor",147.8598
MMSPTE6046N, PARLANTE TEROS TE6046N BT 40W,20,25.7,TEROS,441362,"Parlante Ultra TE-6046N, color negro, 40 W[@@@]Disfruta de un sonido potente con el P",147.8598
BBASNUC12WSKV51, BB AS NUC I5-1240P 4.40GHZ DR4,20,393,ASUS,478592,,1989.5020000000002
BBASNUC13ANHI71, BB AS NUC I7-1360P 3.70GHZ DR4,20,560,ASUS,463044,Mini PC ASUS NUC 13 Pro Core i7-1360P hasta 5.0GHz/12C/18MB caché/TDP:35W/Iris Xe Gra,2826.84
BBASNUC13ANKI50, BB AS NUC I5-1340P 3.40GHZ DR4, 15,446,ASUS,435376,,2255.244
BBASNUC13PRCOI3, BB AS NUC I3-1315U 3.30GHZ DR4,20,274,ASUS,478492,,1392.836
BBASNUC14MNK151, BB AS NUC INT N150 3.60GHZ DR5,20,156.8,ASUS,478600,,805.1952000000001
BBASNUC14RVSU91, BB AS NUC U9 185H 2.3GHZ DDR5, 2,758,ASUS,478566,,3819.612
MMTE9072, WEB CAM 2K TEROS TE-9072,20,13.4,TEROS,443813,"Webcam TEROS TE-9072, 2K, micrófono incorporado, USB 2.0[@@@]Trabaja con casi todas l",86.1876
MMTE9073N, WEB CAM 4K TEROS TE-9073N,20,26.8,TEROS,474971,"Webcam TEROS TE-9073N, 4K, micrófono incorporado,USB 2.0[@@@]Descubre la cámara web T",153.3752
CSA25BKTE1036S, CASE STD ATX TE1036 250W BK,20,22.8,TEROS,449993,"Case TEROS TE-1036S, Factor de forma ATX, 250 W, USB 3.0 / 2.0, audio, negro.[@@@]El",133.31920000000002
CSA25BKTE1037S, CASE STD ATX TE1037 250W BK,20,22.8,TEROS,449994,"Case TEROS TE-1037S, Factor de forma ATX, 250 W, USB 3.0 / 2.0, audio, negro.[@@@]El",133.31920000000002
CSA25BKTE1038S, CASE STD ATX TE1038 250W BK,20,22.8,TEROS,449995,"Case TEROS TE-1038S, Factor de forma ATX, 250 W, USB 3.0 / 2.0, audio, negro.[@@@]El",133.31920000000002
CSM45BKTE1319G, CASE GM MICROATX 450W TE1319G,20,31.6,TEROS,465174,"Case gamer TEROS TE-1319G, Mid Tower, 450W, USB 3.0 / 2.0, audio, negro[@@@]El case g",177.44240000000002
CSMSFRGE120AB65, CS MS ATX FRGE 120AAF 650W 80B,20,81,MSI,439435,"Case con Fuente de 650W MSI MAG FORGE 120A AIRFLOW, Mid Tower[@@@]Puertos: 2 x USB 3.",425.134
CSMSFRGM100AD6, CS MS MATX FRGE M100A 600W 80W, 18,61.8,MSI,439439,"Case con Fuente de 600W MSI MAG FORGE M100A, Micro ATX Tower[@@@]Puertos: 1 x USB 3.2",328.8652
CSM25BKTE1033S, CASE MICRO ATX TE1033 250W BK,20,18.7,TEROS,448178,"Case TEROS TE-1033S, Mini Tower ATX, 250 W, USB 3.0 / 2.0, audio HD, negro[@@@]Presen",112.7618
CSM25BKTE1034S, CASE MICRO ATX TE1034 250W BK,20,18.7,TEROS,448185,"Case TEROS TE-1034S, Mini Tower ATX, 250 W, USB 3.0 / 2.0, audio HD, negro[@@@]Presen",112.7618
CSM25BKTE1035S, CASE STD MICRO ATX 250W TE1035,20,18.7,TEROS,449986,"Case TEROS TE-1035S, Mini Tower ATX, 250 W, USB 3.0 / 2.0, audio HD, negro[@@@]Presen",112.7618
CSS25BKTE1032S, CASE SLIM TE1032S BLACK,20,26.5,TEROS,444021,"Case TEROS TE-1032S, Slim, 250 W, USB 3.2 / USB 2.0, audio HD, DVD, negro[@@@]Present",151.871
CSS25BKTE1039S, CASE STD SLIM TE1039 250W BK,20,26.5,TEROS,459563,"Case TEROS TE-1039S, Slim, 250 W, USB 3.0 / USB 2.0, audio HD, DVD, negro[@@@]Present",151.871
CSA00BKTE1321G, CASE GM ATX TE1321 BLACK,20,38.5,TEROS,472157,"Case gamer TEROS TE-1321G, Mid Tower, USB 3.0 / USB 2.0, audio, ventilador ARGB, negr",212.03900000000002
CSA00WHTE1311G, CASE ATX TE1311 WHITE, 6,45,TEROS,426096,"Case gamer TEROS TE-1311G, Mid Tower, USB 3.0 / USB 2.0, audio, ventilador ARGB, blan",244.63000000000002
CSA00WHTE1322G, CASE GM ATX TE1322 WHITE,20,39.5,TEROS,472158,"Case gamer TEROS TE-1322G, Mid Tower, USB 3.0 / USB 2.0, audio, ventilador ARGB, blan",217.053
CSASGT302ARGBW, CS AS ATX GT302 ARGB WHITE, 3,129.4,ASUS,463048,Case ASUS TUF Gaming GT302 ARGB[@@@]Motherboard -Factor de Forma soportados: EATX (12,667.8116000000001
CSASGT502BLK, CASE ASUS ATX GT502 BLACK, 5,157.6,ASUS,408807,"Case ASUS TUF Gaming GT502, Mid-Tower, ATX, Negro.[@@@]Puertos: 1 x USB 3.2 Gen 2 Tip",809.2064
CSASGT502WHT, CASE ASUS ATX TUF GT502 WHITE, 8,165.6,ASUS,408808,"Case ASUS TUF Gaming GT502, Mid-Tower, ATX, Blanco.[@@@]Puertos: 1 x USB 3.2 Gen 2 Ti",849.3184
CSATXTE1175N, CASE TEROS TE1175N, 5,38.5,TEROS,419698,"Case Gamer Teros TE1175N, Mid Tower, Negro, USB 3.0, USB 2.0, Audio.[@@@]Panel latera",212.03900000000002
CSCMCP520KGNNS0, CASE GAMER ATX CMP 520 BLACK, 0,53.7,COOLER MASTER,467677,Case Cooler Master CMP 520 ARGB ATX PC Case[@@@]Motherboard - Factor de Forma soporta,288.2518
CSCMMB520KGNNS0, CASE GAMER ATX MTER BOX520MESH,20,65.6,COOLER MASTER,467678,Case Cooler Master MasterBox 520 Mesh ARGB ATX PCCase[@@@]Motherboard - Factor de For,347.91839999999996
CSCMMB520WGNNS0, CASE GAMER ATX MBOX 520MESH W,20,64.5,COOLER MASTER,467683,Case Cooler Master MasterBox 520 Mesh ARGB ATX PCCase[@@@]Motherboard - Factor de For,342.403
CSGBC102GI, CS GB C102 GLASS ICE MATX, 3,32.05,GIGABYTE,468997,"Case GIGABYTE C102 GLASS ICE, Mid Tower[@@@]Puertos: 2 x USB 3.2 Gen 1 Type-A / Com",179.6987
CSGBC102GN, CS GB C102 GLASS BLACK MATX, 0,28.65,GIGABYTE,468998,"Case GIGABYTE C102 GLASS, Mid Tower[@@@]Puertos: 2 x USB 3.2 Gen 1 Type-A / Combo A",162.6511
CSGBC500PIST, GB C500 PANORAMIC STEALTH ICE, 12,9999999.99,GIGABYTE,478386,,50140018.94986001
CSGBC500PST, GB C500 PANORAMIC STEALTH, 12,9999999.99,GIGABYTE,478384,,50140018.94986001
CSM00BKTE1314G, CASE GM MICRO ATX TE1314 BLACK,20,43,TEROS,449989,"Case gamer TEROS TE-1314G, Mid Tower, USB 3.0 / USB 2.0, audio, ventilador ARGB, negr",234.602
CSM00WHTE1316G, CASE GM MICRO ATX TE1316 WHITE,20,43,TEROS,461246,"Case gamer TEROS TE-1316G, Mid Tower, USB 3.0 / USB 2.0, audio, ventilador ARGB, blan",234.602
CSMSFORGE120AAF, CS MS ATX MAG FORGE 120A AIRFL,20,42.75,MSI,436086,"Case MSI MAG FORGE 120A AIRFLOW, Mid Tower[@@@]Puertos: 2 x USB 3.2 Gen 1 Type-A /",233.3485
CSMSFORGE321AAF, CS MS ATX MAG FORGE 321A AIRFL,20,54.6,MSI,464911,Case MSI MAG FORGE 321A AIRFLOW[@@@]Motherboard -Factor de Forma soportados: ATX / Mi,292.7644
CSMSFORGEM100A, CS MS M-ATX MAG FORGE M100A,20,36.6,MSI,394111,Case Gamer MSI MAG FORGE M100A[@@@]Motherboard - Factor de Forma soportados: Micro-AT,202.5124
CSMSPANO110RPZN, CS MS ATX MAG PANO 110R PZ NEG,20,68.9,MSI,480380,"Case MSI MAG PANO 110R PZ, mini-ITX, Micro-ATX, ATX, Mid Tower[@@@]Puertos: 2 x USB 3",364.4646
CSMSPANO120RPZ, CS MS ATX MAG PANO 120R PZ,20,202,MSI,465065,Case MSI MAG PANO 120R PZ[@@@]Motherboard - Factor de Forma soportados: ATX / Micro-A,1031.828
CSMSPGNR300RAFW, CS MS ATX MPG GUNGNIR 300R AFW, 15,135.6,MSI,436090,"Case MSI MPG GUNGNIR 300R AIRFLOW / WHITE, Mid Tower[@@@]Puertos: 2 x USB 3.2 Gen 1 T",698.8984
ACCAXADDS539USB," 2XUSB2.0, 2XUSB3 ASSEMBY FOR D",20,4.33,ADVANCE COMPUTER CORP,233715,"Panel USB de case, Advance DS-539, USB 2.0 / 3.0.[@@@]Compatible con el case CSAXDKAD",40.710620000000006
ACCTE7051N, ARGB SPLITTER TE-7051N,20,0.6,TEROS,367073,Cable divisor ARGB TEROS TE-7051N[@@@]El cable divisor ARGB TEROS TE-7051N es una sol,22.0084
ACNTHPL0310, KIT EXTENSION NZXT PARA HUE+,20,13.58,NZXT,224767,"Kit de extensión NZXT HUE+, LED RGB, cables de 30cm y 10 cm, cinta de doble pega.[@@@",87.09012
ACNTHUEPSM1, CONTROL DIGITAL DE ILUMINACION, 9,40.21,NZXT,224763,"Control digital NZXT HUE+, Iluminación avanzada para PC con controles digitales CAM.[",220.61294
SPMGZNDSGN04G, CRYOFUZE 7, 1,9999999.99,COOLER MASTER,479598,,50140018.94986001
ACCOR9050078, ACC COR ML140 PRO RGB LED,20,50,CORSAIR,317864,"Fan Corsair Dual ML140 Pro RGB LED 14 cm, 400 - 1200 RPM, 10.8V - 13.2V, PWM Control.",269.70000000000005
ACCOR9050097, FAN CORSAIR QL 120MM SINGLE,20,23,CORSAIR,358382,"Fan Corsair QL120 RGB, 12 cm, 525 - 1500 ±10% RPM, 6V - 13.2V, PWM Control.[@@@]Airfl",134.322
ACCOR9050099, FAN CORSAIR QL 140MM SINGLE,20,25,CORSAIR,358384,"Fan Corsair QL140 RGB, 14 cm, 550 - 1250 ±10% RPM, 6V - 13.2V, PWM Control.[@@@]Airfl",144.35000000000002
ACCOR9050100, FAN CORSAIR QL 140MM DUAL PACK,20,59,CORSAIR,358385,"Fan Corsair Dual QL140 RGB, 14cm, 550 - 1250 ±10%RPM, 6V - 13.2V, PWM Control.[@@@]Fa",314.826
ACCORRGB120PRO, ACC CORSAIR 120 RGB PRO,20,62,CORSAIR,281706,"Fan Corsair ML120 Pro RGB Led, 12 cm, 1600 RPM, 13.2 VDC, 4 pines, PWM Control.[@@@]P",329.868
ACCORRGB124, ACC CORSAIR 140RGB 2 FAN PACK,20,53,CORSAIR,281707,"Fan Corsair LL140 RGB, 14 cm, 1300 RPM, 13.2 VDC,4 pines, PWM Control.[@@@]Pack de 2",284.742
ACMSEZ120ARGBW3, CASE FAN MSI EZ120 ARGB X3 WHI, 1,72.6,MSI,451516,FAN para CASE MSI MPG EZ120 ARGB WHITE[@@@],383.0164
PSUA25BKTE1315S, PSU STD ATX 250W TE1315 BK,20,9.8,TEROS,428678,"Fuente de alimentación TEROS TE-1315S, Formato ATX, 250W, 115V / 230V[@@@]La fuente d",68.1372
PSUA25BKTE1324S, PSU STD ATX 250W TE1324 BK,20,9.8,TEROS,478066,"Fuente de alimentación TEROS TE-1324S, Formato ATX, 250W, 115V / 230V[@@@]Descubre la",68.1372
PSARCL-650B, PSU AR 650W NM 80+B CL-650B,20,46,ASROCK,474748,"Fuente de alimentación Asrock, 650W, ATX, 80 PlusBronze.[@@@]1 conector ATX 24/20 pin",249.644
PSARCL-750B, PSU AR 750W NM 80+B CL-750B,20,59.5,ASROCK,474747,"Fuente de alimentación Asrock, 750W, ATX, 80 PlusBronze.[@@@]1 conector ATX 24/20 pin",317.333
PSARCL-750G, PSU AR 750W NM 80+G CL-750G, 13,69.6,ASROCK,474742,"Fuente de alimentación Asrock, 750W, ATX, 80 PlusGold.[@@@]1 conector ATX 24/20 pines",367.9744
PSARCL-850G, PSU AR 850W NM 80+G CL-850G, 13,79.7,ASROCK,474741,"Fuente de alimentación Asrock, 850W, ATX, 80 PlusGold.[@@@]1 conector ATX 24/20 pines",418.61580000000004
PSARPG-1000G, PS AR 1000W 80+G FM PG-1000G, 4,174,ASROCK,483337,,891.436
PSARPG-750G, PS AR 750W 80+G FM PG-750G, 4,123.9,ASROCK,483342,,640.2346000000001
PSARPG-850G, PS AR 850W 80+G FM PG-850G, 4,140.6,ASROCK,483338,,723.9684
PSARSL-1000G, PS AR 1000W 80+G FM SL-1000G, 3,141,ASROCK,483346,,725.974
PSARSL-650G, PS AR 650W 80+G FM SL-650G, 4,86.5,ASROCK,483345,,452.711
PSARSL-750G, PS AR 750W 80+G FM SL-750G, 3,93,ASROCK,483344,,485.302
PSARSL-850G, PS AR 850W 80+G FM SL-850G, 3,104.7,ASROCK,483343,,543.9658000000001
PSARSL-850GW, PS AR 850W 80+G FM SL-850GW, 4,112.4,ASROCK,483347,,582.5736
